COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16__UNEMPLOYED,PERCENT_AGED_25__WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME,HARDSHIP_INDEX
1,Rogers Park,7.7,23.6,8.7,18.2,27.5,23939,39
2,West Ridge,7.8,17.2,8.8,20.8,38.5,23040,46
3,Uptown,3.8,24,8.9,11.8,22.2,35787,20
4,Lincoln Square,3.4,10.9,8.2,13.4,25.5,37524,17
5,North Center,0.3,7.5,5.2,4.5,26.2,57123,6
6,Lake View,1.1,11.4,4.7,2.6,17,60058,5
7,Lincoln Park,0.8,12.3,5.1,3.6,21.5,71551,2
8,Near North Side,1.9,12.9,7,2.5,22.6,88669,1
9,Edison Park,1.1,3.3,6.5,7.4,35.3,40959,8
10,Norwood Park,2,5.4,9,11.5,39.5,32875,21
11,Jefferson Park,2.7,8.6,12.4,13.4,35.5,27751,25
12,Forest Glen,1.1,7.5,6.8,4.9,40.5,44164,11
13,North Park,3.9,13.2,9.9,14.4,39,26576,33
14,Albany Park,11.3,19.2,10,32.9,32,21323,53
15,Portage Park,4.1,11.6,12.6,19.3,34,24336,35
16,Irving Park,6.3,13.1,10,22.4,31.6,27249,34
17,Dunning,5.2,10.6,10,16.2,33.6,26282,28
18,Montclaire,8.1,15.3,13.8,23.5,38.6,22014,50
19,Belmont Cragin,10.8,18.7,14.6,37.3,37.3,15461,70
20,Hermosa,6.9,20.5,13.1,41.6,36.4,15089,71
21,Avondale,6,15.3,9.2,24.7,31,20039,42